Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
str_zlv_civsedantrunk1,Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.,Trunk lid of the GAZ-24 Volga sedan. Used for keeping trunk contents closed.,Kmen víko sedanu Volga GAZ-24. Používá se pro udržení uzavřeného obsahu kufru.,"Kofferraum Deckel der GAZ-24-Wolga-Limousine. Verwendet, um die Kofferrauminhalte geschlossen zu halten.",Крышка багажника седана ГАЗ-24 «Волга». Не дает содержимому багажника выпасть.,Pokrywa bagażnika Gaz-24 Volga Sedan. Używany do utrzymywania zamkniętej zawartości bagażnika.,A Gaz-24 Volga szedán csomagtartó fedele. A csomagtartó tartalmának zárva tartására használják.,Coperchio del bagagliaio della berlina Gaz-24 Volga. Utilizzato per mantenere il contenuto del tronco chiuso.,Tapa del tronco del sedán Volga Gaz-24. Utilizado para mantener cerrado el contenido del tronco.,Couvercle du coffre de la berline GAZ-24 Volga. Utilisé pour garder le contenu du tronc fermé.,GAZ-24 Volga轿车的树干盖。用于使中继内容关闭。,GAZ-24 Volga Sedanの幹蓋。トランクの内容を閉じたままにするために使用されます。,Tampa do tronco do sedan Volga Gaz-24. Usado para manter o conteúdo do tronco fechado.,GAZ-24 Volga轿车的树干盖。用于使中继内容关闭。
str_zlv_civsedanwheel0,Volga Wheel,Volga Wheel,Volga Wheel,Wolga -Rad,Колесо от Волги,Wołanie koło,Volga kerék,Volga Wheel,Volga Wheel,Roue de volga,伏尔加轮,ヴォルガホイール,Roda Volga,伏尔加轮
str_zlv_civsedanwheel1,A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.,A wheel of the GAZ-24 Volga sedan. Tire pattern is designed for high performance on common road surfaces.,Kolo sedanu Volga Gaz-24. Vzor pneumatik je navržen pro vysoký výkon na běžných površích silnic.,Ein Rad der GAZ-24-Wolga-Limousine. Das Reifenmuster ist für hohe Leistung auf gemeinsamen Straßenoberflächen ausgelegt.,Колесо седана ГАЗ-24 «Волга». Рисунок протектора обеспечивает высокую маневренность на обычных дорожных покрытиях.,Koło sedana Gaz-24 Volga. Wzór opon jest przeznaczony do wysokiej wydajności na wspólnych powierzchniach drogowych.,A Gaz-24 Volga szedán kereke. A gumiabroncsmintát a közös útfelületek nagy teljesítményére tervezték.,Una ruota della berlina Gaz-24 Volga. Il modello di pneumatici è progettato per prestazioni elevate su superfici stradali comuni.,Una rueda del sedán Volga Gaz-24. El patrón de neumáticos está diseñado para un alto rendimiento en las superficies de las carreteras comunes.,Une roue de la berline GAZ-24 Volga. Le motif de pneu est conçu pour les hautes performances sur les surfaces routières communes.,GAZ-24伏尔加轿车的轮子。轮胎图案设计用于在常见路面上的高性能。,GAZ-24 Volga Sedanのホイール。タイヤパターンは、一般的な道路面での高性能のために設計されています。,Uma roda do sedan Volga Gaz-24. O padrão de pneu foi projetado para alto desempenho em superfícies de estradas comuns.,GAZ-24伏尔加轿车的轮子。轮胎图案设计用于在常见路面上的高性能。
str_zlv_hatchbackdoors_codriver0,LADA Niva Right Door,LADA Niva Right Door,Lada Niva pravé dveře,Lada Niva rechte Tür,Правая дверь Нивы,Prawe drzwi LaDa Niva,Lada niva jobb ajtó,Porta destra di Lada Niva,Puerta derecha de Lada Niva,Lada Niva porte droite,拉达·尼瓦（Lada Niva）右门,ラダニヴァ右ドア,Porta direita de Lada Niva,拉达·尼瓦（Lada Niva）右门
str_zlv_hatchbackdoors_codriver1,Front right door of the LADA Niva off-road. Keeps the co-driver safe inside the vehicle.,Front right door of the LADA Niva off-road. Keeps the co-driver safe inside the vehicle.,Přední pravé dveře v terénu Lada Niva. Uvnitř vozidla udržuje spoluzakladatele v bezpečí.,Vordere rechte Tür der Lada Niva Offroad. Hält den Mitfahrer sicher im Fahrzeug.,Передняя правая дверь внедорожника ВАЗ-2121 «Нива». Обеспечивает безопасность сменного водителя внутри автомобиля.,Przednie prawe drzwi lady Niva w terenie. Utrzymuje bezpieczny kierowca w pojeździe.,A LADA NIVA off-road jobb oldali ajtója. Biztonságban tartja a Co-sof?r biztonságát a járm? belsejében.,Porta anteriore destra della fuoristrada di Lada Niva. Mantiene il co-driver sicuro all'interno del veicolo.,Puerta derecha delantera de Lada Niva Off-Road. Mantiene el copiloto a salvo dentro del vehículo.,Porte avant droite de la Lada Niva hors route. Prude le copilote à l'intérieur du véhicule.,拉达·尼瓦（Lada Niva）越野的前门。确保副驾驶在车内安全。,オフロードオフロードのラダニヴァの正面右ドア。車両内で共同ドライバーを安全に保ちます。,Porta frontal direita do Lada Niva Off-Road. Mantém o co-piloto seguro dentro do veículo.,拉达·尼瓦（Lada Niva）越野的前门。确保副驾驶在车内安全。
str_zlv_hatchbackdoors_driver0,LADA Niva Left Door,LADA Niva Left Door,Lada Niva levé dveře,Lada Niva verließ die Tür,Левая дверь Нивы,Lada Niva opuściła drzwi,Lada niva bal ajtó,LADA NIVA SINISTRA PORTA,Puerta izquierda de Lada Niva,Lada Niva Porte gauche,拉达·尼瓦（Lada Niva）左门,ラダニバはドアを去った,Lada Niva porta esquerda,拉达·尼瓦（Lada Niva）左门
str_zlv_hatchbackdoors_driver1,Front left door of the LADA Niva off-road. Keeps the driver safe inside the vehicle.,Front left door of the LADA Niva off-road. Keeps the driver safe inside the vehicle.,Přední levé dveře v terénu Lada Niva. Udrží řidiče v bezpečí uvnitř vozidla.,Vordere linke Tür der Lada Niva Offroad. Hält den Fahrer im Fahrzeug sicher.,Передняя левая дверь внедорожника ВАЗ-2121 «Нива». Обеспечивает безопасность водителя внутри автомобиля.,Przednie lewe drzwi lady Niva w terenie. Utrzymuje kierowcę bezpieczeństwo w pojeździe.,A LADA NIVA off-road els? bal oldali ajtója. A járm?vezet?t biztonságban tartja a járm? belsejében.,Porta anteriore sinistra della fuoristrada di Lada Niva. Mantenere il conducente al sicuro all'interno del veicolo.,La puerta delantera izquierda de Lada Niva Off-Road. Mantiene al conductor seguro dentro del vehículo.,Porte avant gauche de la Lada Niva hors route. Gardez le conducteur en sécurité à l'intérieur du véhicule.,拉达·尼瓦（Lada Niva）越野的左前门。确保驾驶员在车内安全。,オフロードオフロードのラダニヴァの最前線のドア。車内のドライバーを安全に保ちます。,Porta frontal esquerda do Lada Niva Off-Road. Mantém o motorista seguro dentro do veículo.,拉达·尼瓦（Lada Niva）越野的左前门。确保驾驶员在车内安全。
str_zlv_hatchbackhood0,LADA Niva Hood,LADA Niva Hood,Lada Niva Hood,Lada Niva Hood,Капот Нивы,LADA Niva Hood,Lada Niva Hood,Lada Niva Hood,Hood de Lada Niva,Lada Niva Hood,拉达·尼瓦（Lada Niva Hood）,ラダニバフッド,Lada Niva Hood,拉达·尼瓦（Lada Niva Hood）
str_zlv_hatchbackhood1,Hood of the LADA Niva off-road. Helps protect the engine and other sensitive car parts.,Hood of the LADA Niva off-road. Helps protect the engine and other sensitive car parts.,Hood of the Lada Niva off-road. Pomáhá chránit motor a další citlivé části automobilu.,Haube der Lada Niva Offroad. Schützt den Motor und andere empfindliche Autoteile.,Капот гражданского внедорожника ВАЗ-2121 «Нива». Помогает защитить двигатель и другие важные детали автомобиля.,Hood of the Lady Niva Off-road. Pomaga chronić silnik i inne wrażliwe części samochodowe.,A LADA NIVA off-road motorháztet?je. Segít megvédeni a motort és az egyéb érzékeny autóalkatrészeket.,Hood of the Lada Niva fuoristrada. Aiuta a proteggere il motore e altre parti di auto sensibili.,Hood of the Lada Niva Off-Road. Ayuda a proteger el motor y otras partes sensibles del automóvil.,Hood of the Lada Niva hors route. Aide à protéger le moteur et d'autres pièces de voitures sensibles.,拉达·尼瓦（Lada Niva）越野的引擎盖。有助于保护发动机和其他敏感的汽车零件。,オフロードのラダニヴァのフード。エンジンやその他の敏感な車の部品を保護するのに役立ちます。,Hood da Lada Niva Off-Road. Ajuda a proteger o motor e outras partes sensíveis do carro.,拉达·尼瓦（Lada Niva）越野的引擎盖。有助于保护发动机和其他敏感的汽车零件。
str_zlv_hatchbacktrunk0,LADA Niva Trunk Door,LADA Niva Trunk Door,Dveře kufru Lada Niva,Lada Niva Kofferstür,Дверь багажника Нивы,Drzwi pnia LaDa Niva,LADA NIVA csomagtartóajtó,Porta del bagagliaio di Lada Niva,Puerta del baúl niva niva,Lada Niva Trunk Porte,拉达·尼瓦（Lada Niva）,ラダニバトランクドア,Porta do tronco de Lada Niva,拉达·尼瓦（Lada Niva）
str_zlv_hatchbacktrunk1,Trunk door of the LADA Niva offroad. Used for keeping trunk contents closed.,Trunk door of the LADA Niva offroad. Used for keeping trunk contents closed.,Dveře kufru Lada Niva Offroad. Používá se pro udržení uzavřeného obsahu kufru.,"Kofferstür der Lada Niva Offroad. Verwendet, um die Kofferrauminhalte geschlossen zu halten.",Дверь багажника внедорожника ВАЗ-2121 «Нива». Не дает содержимому багажника выпасть.,Drzwi pnia w Lady Niva Offroad. Używany do utrzymywania zamkniętej zawartości bagażnika.,A Lada Niva offroad csomagtartójta. A csomagtartó tartalmának zárva tartására használják.,Porta del bagagliaio della Lada Niva Offroad. Utilizzato per mantenere il contenuto del tronco chiuso.,Puerta del baúl de la Lada Niva Offroad. Utilizado para mantener cerrado el contenido del tronco.,Porte de tronc de la Lada Niva Offroad. Utilisé pour garder le contenu du tronc fermé.,拉达·尼瓦（Lada Niva）越野的中继门。用于使中继内容关闭。,ラダニヴァオフロードのトランクドア。トランクの内容を閉じたままにするために使用されます。,Porta do porta -malas do Lada Niva Offroad. Usado para manter o conteúdo do tronco fechado.,拉达·尼瓦（Lada Niva）越野的中继门。用于使中继内容关闭。
str_zlv_hatchbackwheel0,LADA Niva Wheel,LADA Niva Wheel,Lada Niva Wheel,Lada Niva Wheel,Колесо от Нивы,Koło LaDa Niva,Lada niva kerék,Wheel Lada Niva,Rueda niva lada,Lada Niva Roue,Lada Niva轮,ラダニヴァホイール,Roda Lada Niva,Lada Niva轮
str_zlv_hatchbackwheel1,A wheel of the LADA Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.,A wheel of the LADA Niva off-road. Deep-treaded tire is used to improve vehicle driving capabilities in terrain.,Kolo lada niva v terénu. Hluboká pneumatika se používá ke zlepšení schopností řízení vozidel v terénu.,"Ein Rad der Lada Niva Offroad. Tiefenreifen Reifen werden verwendet, um die Fahrtriebfähigkeit im Gelände zu verbessern.",Колесо внедорожника ВАЗ-2121 «Нива». Шина с ярко выраженным протектором для лучшей маневренности в условиях бездорожья.,Koło off-road LaDa Niva. Opona głęboko leżąca służy do poprawy możliwości jazdy pojazdu w terenie.,A LADA NIVA off-road kereke. A mélyen elárasztott gumiabroncsot a terepi vezetési képességek javítására használják a terepen.,Una ruota del fuoristrada di Lada Niva. Il pneumatico in crisi viene utilizzata per migliorare le capacità di guida dei veicoli in terreno.,Una rueda de la Lada Niva Off-Road. Se utiliza neumáticos con tráfico profundo para mejorar las capacidades de conducción del vehículo en el terreno.,Une roue du Lada Niva hors route. Le pneu à la traction profonde est utilisé pour améliorer les capacités de conduite des véhicules en terrain.,拉达·尼瓦（Lada Niva）越野的轮子。深度性轮胎用于改善地形的车辆驾驶能力。,オフロードオフロードのラダニヴァの車輪。深く測定されたタイヤは、地形の車両駆動能力を改善するために使用されます。,Uma roda do Lada Niva Off-Road. O pneu de pico profundo é usado para melhorar as capacidades de direção de veículos em terrenos.,拉达·尼瓦（Lada Niva）越野的轮子。深度性轮胎用于改善地形的车辆驾驶能力。
str_zlv_offroadhatchback0,LADA Niva Legend,LADA Niva Legend,Lada Niva Legend,Lada Niva Legend,ВАЗ-2121 «Нива»,LADA NIVA Legend,Lada niva legenda,LADA NIVA LEGEND,Lada Niva Legend,Lada Niva Legend,拉达·尼瓦（Lada Niva）传奇,ラダニバの伝説,Lenda da Lada Niva,拉达·尼瓦（Lada Niva）传奇
str_zlv_sedan_02_door_1_10,Škoda 125 L Front Left Door,Škoda 125 L Front Left Door,Škoda 125 l Přední levé dveře,Škoda 125 l vordere linke Tür,Передняя левая дверь Škoda 125 L,Škoda 125 l Przednie lewe drzwi,ŠKODA 125 L A bal oldali ajtó,Škoda 125 L porta anteriore sinistra,ŠKODA 125 L Puerta delantera izquierda,Škoda 125 L Porte gauche gauche,škoda125 L前门,シュコダ125 Lフロント左ドア,ŠKODA 125 L PORTA CONTENDENTE DA FRONTE,škoda125 L前门
str_zlv_sedan_02_door_1_11,Front left door of the Škoda 125 L that keeps the driver safe inside the vehicle.,Front left door of the Škoda 125 L that keeps the driver safe inside the vehicle.,"Přední levé dveře Škoda 125 l, které udržuje řidiče v bezpečí uvnitř vozidla.","Vordere linke Tür der ŠKODA 125 L, die den Fahrer im Fahrzeug schützt.",Передняя левая дверь Škoda 125 L. Обеспечивает безопасность водителя внутри автомобиля.,"Przednie lewe drzwi Škoda 125 L, które zapewnia bezpieczeństwo kierowcy w pojeździe.","A ŠKODA 125 l els? bal oldali ajtója, amely a járm?vezet?t biztonságban tartja a járm? belsejében.",Porta anteriore sinistra della Škoda 125 L che mantiene il conducente sicuro all'interno del veicolo.,La puerta delantera izquierda del Škoda 125 L que mantiene al conductor a salvo dentro del vehículo.,Porte avant gauche de la Škoda 125 L qui protège le conducteur à l'intérieur du véhicule.,škoda125 L的左前门，可确保车辆内部的驾驶员安全。,ドライバーを車内で安全に保つškoda125Lの前部左ドア。,Porta frontal esquerda do Škoda 125 L que mantém o motorista seguro dentro do veículo.,škoda125 L的左前门，可确保车辆内部的驾驶员安全。
